A'GOIN	EY g oo n
ACTUAL	ae k c AH bh AH l
ACTUALITIES	ae k c u aa l i t i z
ACTUALITY	ae k c u aa l AH t i
ACTUALIZATION	ae k sh AH l AH z ee sh AH n
ACTUATE	ae k c u ee t
ACTUATED	ae k c u ee t i dx
ACTUATES	ae k c u ee t s
ACTUATING	ae k c u ee t i NG
ACTYVE	ae k t ai bh
ACWORTH	ae k bh ER th
ADAD	ae dx aa dx
ADAGES	AH dx a j i z
ADAGIO	AH dx a j i oo
ADAGIOS	AH dx a j i oo z
ADAIRSVILLE	AH dx EH r s bh i l
ADAIRVILLE	AH dx EH r bh i l
ADAKAR	AH dx aa k ER
ADALBERT	AH dx aa l b ER t
ADALGOTH	a dx a l g oo th
ADAMNAN	AH dx aa m n AH n
ADAMO	a dx a m oo
ADANA	AH dx aa n AH
ADAPT	AH dx aa p t
ADAPTABILITY	AH dx aa p t AH b i l AH t i
ADAPTABLE	AH dx aa p t AH b AH l
ADAPTATION	ae dx AH p t ee sh AH n
ADAPTATIONS	ae dx aa p t ee sh AH n z
ADAPTATIONS	ae dx AH p t ee sh AH n z
ADAPTED	AH dx aa p t AH dx
ADAPTED	AH dx aa p t i dx
ADAPTEDNESS	AH dx aa p t i dx n AH s
ADAPTER	AH dx aa p t ER
ADAPTING	AH dx aa p t i NG
ADAPTION	AH dx aa p sh AH n
ADAPTIVE	AH dx aa p t i bh
ADAPTIVENESS	AH dx aa p t i bh n AH s
ADAPTS	AH dx aa p t s
ADDAX	AH dx aa k s
ADDERWOOD	AH dx ER bh u dx
ADDETH	ae dx i th
ADDIO	AH dx i oo
ADDISONIAN	ae dx i s oo n i AH n
ADDLEPATED	ae dx AH l p ee t i dx
ADDLESTONE	ae dx AH l s t oo n
ADELAIDE	ae dx AH l ee dx
ADELAINE	ae dx AH l ee n
ADELAIS	ae dx AH l ee
ADELANTADO	ae dx AH l a n t a dx oo
ADELANTADO'S	ae dx AH l a n t a dx oo z
ADELPHI	AH dx EH l ph i
ADENOID	ae dx AH n oo dx
ADENOIDS	ae dx AH n oo dx z
ADEO	AH dx ee oo
ADEODATUS	AH dx i AH dx ee t AH s
ADEOS	ae dx i oo z
ADEQUACY	ae dx AH k bh AH s i
ADEQUATE	ae dx AH k bh AH t
ADEQUATE	ae dx AH k bh ee t
ADEQUATELY	ae dx AH k bh AH t l i
ADEQUATELY	ae dx AH k bh i t l i
ADESSO	AH dx EH s oo
ADHAM	ae dx h aa m
ADHESION	ae dx h i j AH n
ADHESIONS	ae dx h i j AH n z
ADHESIVE	ae dx h i s i bh
ADHESIVE	AH dx h i s i bh
ADHESIVENESS	ae dx h i s i bh n AH s
ADIENO	AH dx i n oo
ADIEUX	ae dx i oo
ADIO	a dx i oo
ADIOS	a dx i oo s
ADIPOCERE	ae dx AH p oo s i r
ADIPOSE	ae dx AH p oo s
ADIPOSITY	ae dx AH p oo s AH t i
ADIRONDAC	ae dx ER a n dx aa k
ADIRONDACK	ae dx ER a n dx aa k
ADIRONDACKS	ae dx ER a n dx aa k s
ADIRONDACS	ae dx ER a n dx aa k s
ADIVA	AH dx i bh AH
ADJACENT	AH j ee s AH n t
ADJECTIVAL	ae j i k t i bh AH l
ADJECTIVE	ae j i k t i bh
ADJECTIVES	ae j i k t i bh z
ADJIDAUMO	AH j i dx u m oo
ADJOIN	AH j oo n
ADJOINED	AH j oo n dx
ADJOINING	AH j oo n i NG
ADJOINS	AH j oo n z
ADJOINT	AH j oo n t
ADJOYNING	AH j oo n i NG
ADJUDICATE	AH j u dx i k ee t
ADJUDICATED	AH j u dx AH k ee t i dx
ADJUDICATING	AH j u dx i k ee t i NG
ADJUDICATION	AH j u dx AH k ee sh AH n
ADJUDICATIONS	AH j u dx AH k ee sh AH n z
ADJURATION	AH j ER ee sh AH n
ADJURATIONS	AH j ER ee sh AH n z
ADJUVANT	AH j u bh AH n t
ADMASTON	ae dx m aa s t AH n
ADMASTON'S	ae dx m aa s t AH n z
ADMEASUREMENT	ae dx m EH j ER m AH n t
ADMETOS	ae dx m i t oo z
ADMINISTRATE	ae dx m i n i s t r ee t
ADMINISTRATING	AH dx m i n AH s t r ee t i NG
ADMINISTRATION	ae dx m i n i s t r ee sh AH n
ADMINISTRATION'S	ae dx m i n i s t r ee sh AH n z
ADMINISTRATIONS	ae dx m i n i s t r ee sh AH n z
ADMINISTRATIVE	AH dx m i n AH s t r ee t i bh
ADMINISTRATIVELY	ae dx m i n AH s t r ee t i bh l i
ADMINISTRATOR	AH dx m i n AH s t r ee t ER
ADMINISTRATOR'S	ae dx m i n i s t r ee t ER z
ADMINISTRATORS	ae dx m i n i s t r ee t ER z
ADMINISTRATRIX	ae dx m i n i s t r aa t r i k s
ADMIRATION	ae dx m ER ee sh AH n
ADMIRATIONS	ae dx m ER ee sh AH n z
ADOBE	AH dx oo b i
ADOBES	AH dx oo b i z
ADOBIE	AH dx oo b i
ADOE	ae dx oo
ADOIN	ae dx oo n
ADOLAY	ae dx AH l ee
ADOLESCENCE	ae dx oo l EH s AH n s
ADOLESCENT	ae dx oo l EH s AH n t
ADOLESCENTS	ae dx oo l EH s AH n t s
ADOLF	EY dx a l ph
ADOLF'S	EY dx a l ph s
ADOLFO	AH dx a l ph oo
ADOLPH	EY dx ax l ph
ADOLPH'S	a dx oo l ph s
ADOLPHE	AH dx a l ph i
ADOLPHE'S	a dx oo l ph AH z
ADOLPHINE	a dx oo l ph i n i
ADOLPHINE'S	a dx oo l ph i n z
ADOLPHUS	AH dx ax l ph AH s
ADONAI	ae dx AH n ee
ADONAIS	ae dx AH n ee
ADONE	a dx oo n i
ADONIAH	a dx oo n i AH
ADONIRAM	AH dx a n AH r aa m
ADOPTIVE	AH dx a p t i bh
ADORATION	ae dx ER ee sh AH n
ADORATIONS	ae dx ER ee sh AH n z
ADORATORIOS	AH dx ax r AH t ax r i oo z
ADORNETH	AH dx ax r n i th
ADORNO	a dx ax r n oo
ADOVA	a dx oo bh AH
ADOWA	AH dx oo AH
ADRASTUS	AH dx r aa s t AH s
ADRIANA	EY dx r i aa n AH
ADRIANNA	EY dx r i aa n AH
ADRIANO	a dx r i a n oo
ADRIANOPLE	a dx r i AH n oo p AH l
ADRIATIC	EY dx r i aa t i k
ADRIFT	AH dx r i ph t
ADROIT	AH dx r oo t
ADROITEST	AH dx r oo t AH s t
ADROITLY	AH dx r oo t l i
ADROITNESS	AH dx r oo t n AH s
ADULATED	ae j AH l ee t AH dx
ADULATION	ae j AH l ee sh AH n
ADULATIONS	ae j AH l ee sh AH n z
ADULATORS	ae dx AH l ee t ER z
ADULTERATE	AH dx AH l t ER ee t
ADULTERATED	AH dx AH l t ER ee t i dx
ADULTERATES	AH dx AH l t ER ee t s
ADULTERATING	AH dx AH l t ER ee t i NG
ADULTERATION	AH dx AH l t ER ee sh AH n
ADULTERATIONS	AH dx AH l t ER ee sh AH n z
ADUMBRATED	ae dx AH m b r ee t AH dx
ADUMBRATION	ae dx AH m b r ee sh AH n
ADUMBRATIONS	ae dx AH m b r ee sh AH n z
ADUROVICH	AH dx u r AH bh i c
ADV	ae dx bh
ADVANC'D	AH dx bh aa n s dx
ADVANCE	AH dx bh aa n s
ADVANCED	AH dx bh aa n s t
ADVANCEMENT	AH dx bh aa n s m AH n t
ADVANCEMENTS	AH dx bh aa n s m AH n t s
ADVANCES	AH dx bh aa n s AH z
ADVANCES	AH dx bh aa n s i z
ADVANCETH	AH dx bh aa n s i th
ADVANCIN	AH dx bh aa n s i n
ADVANCING	AH dx bh aa n s i NG
ADVANTAGE	ae dx bh aa n i j
ADVANTAGE	ae dx bh aa n t i j
ADVANTAGE	AH dx bh aa n AH j
ADVANTAGE	AH dx bh aa n t i j
ADVANTAGED	ae dx bh aa n i j dx
ADVANTAGED	ae dx bh aa n t i j dx
ADVANTAGED	AH dx bh aa n i j dx
ADVANTAGED	AH dx bh aa n t i j dx
ADVANTAGEOUS	ae dx bh AH n t ee j AH s
ADVANTAGEOUSLY	AH dx bh aa n i j AH s l i
ADVANTAGES	ae dx bh aa n i j i z
ADVANTAGES	ae dx bh aa n t i j i z
ADVANTAGES	AH dx bh aa n i j i z
ADVANTAGES	AH dx bh aa n t i j i z
ADVENA	ae dx bh EH n AH
ADVENT	ae dx bh EH n t
ADVENT'ROUS	ae dx bh EH n r AH s
ADVENTIST	ae dx bh EH n t i s t
ADVENTISTS	ae dx bh EH n t i s
ADVENTISTS	ae dx bh EH n t i s t s
ADVENTITIOUS	ae dx bh EH n t i sh AH s
ADVENTURE	ae dx bh EH n c ER
ADVENTURE	AH dx bh EH n c ER
ADVENTURE'S	ae dx bh EH n c ER z
ADVENTURED	ae dx bh EH n c ER dx
ADVENTURER	ae dx bh EH n c ER ER
ADVENTURER	AH dx bh EH n c ER ER
ADVENTURER'S	ae dx bh EH n c ER ER z
ADVENTURERS	ae dx bh EH n c ER ER z
ADVENTURERS	AH dx bh EH n c ER ER z
ADVENTURES	ae dx bh EH n c ER z
ADVENTURES	AH dx bh EH n c ER z
ADVENTURESOME	ae dx bh EH n c ER s AH m
ADVENTURESOME	AH dx bh EH n c ER s AH m
ADVENTURESS	ae dx bh EH n c ER AH s
ADVENTURESSES	ae dx bh EH n c ER EH s i z
ADVENTURING	ae dx bh EH n c ER i NG
ADVENTURINGS	ae dx bh EH n c ER i NG z
ADVENTUROUS	ae dx bh EH n c ER AH s
ADVENTUROUS	AH dx bh EH n c ER AH s
ADVENTUROUSLY	ae dx bh EH n c ER AH s l i
ADVENTUROUSNESS	ae dx bh EH n c ER AH s n AH s
ADVENTUS	ae dx bh EH n c AH s
ADVER	ae dx bh ER
ADVERB	ae dx bh ER b
ADVERBIAL	ae dx bh ER b i AH l
ADVERBS	ae dx bh ER b z
